Location,University,QS Rank,Program,Qualification
HK,The Chinese University of Hong Kong (CUHK),32,Integrated BBA Programme and Juris Doctor,IBBA & Juri
HK,The Chinese University of Hong Kong (CUHK),32,Psychology,BSSc
UK,The University of Edinburgh,34,Veterinary Medicine (D100),BVM&S
UK,The University of Edinburgh,34,Fine Art (BAFA),BA
UK,The University of Edinburgh,34,Computer Science (G401),BSc/MEng
UK,The University of Edinburgh,34,Fine Art (BAFA),BA
UK,The University of Edinburgh,34,Artificial Intelligence & Computer Science (GG47),BSc
UK,The University of Edinburgh,34,Business Management (N100),BSc
UK,The University of Edinburgh,34,Civil Engineering (H200),BEng
UK,The University of Edinburgh,34,Biomedical Sciences (B100),BSc
UK,The University of Edinburgh,34,Psychology (C802),MA (Hons)
UK,The University of Manchester,35,Politics, Philosophy and Economics (LV25),BA
UK,The University of Manchester,35,Zoology (4 years) [MSci] (3F49),MSci
UK,The University of Manchester,35,Computer Science (G400),BSc
UK,The University of Manchester,35,Neuroscience (B140),BSc
UK,The University of Manchester,35,Management (Marketing) (N2N5),BSc
UK,The University of Manchester,35,Finance (N300),BSc
UK,The University of Manchester,35,Adult Nursing (B740),BSc
UK,The University of Manchester,35,Computer Science (G400),BSc/MEng
UK,The University of Manchester,35,Civil Engineering (H201),MEng
UK,The University of Manchester,35,Pharmacy (B230),MPharm
UK,The University of Manchester,35,Management (N201),BSc
UK,The University of Manchester,35,Management (Marketing) with Industrial/Professional Experience (N2N6),BSc
UK,The University of Manchester,35,Medicine (A106),MBChB
UK,The University of Manchester,35,Psychology (C800),BSc
UK,The University of Manchester,35,Management (International Business Economics)WIE (N248),BSc
HK,The Hong Kong University of Science and Technology,44,Choice 1 : Department of Computer Science and Engineering,BSc
Alternative : BEng in Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BSc in Risk Management and Business Intelligence,BSc
Alternative : Business and Management",BSc
HK,The Hong Kong University of Science and Technology,44,Business and Management,BBA
HK,The Hong Kong University of Science and Technology,44,2 : BSc in Global China Studies,BSc
Alternative : BSc in Quantitative Social Analysis",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BBA in Management,BSc
Alternative : Business and Management",BBA
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BBA in Marketing,BSc
Alternative : Business and Management",BBA
HK,The Hong Kong University of Science and Technology,44,Business and Management,BSc
HK,The Hong Kong University of Science and Technology,44,BSc Finanace,
Alternative: Business and Management",BSc
HK,The Hong Kong University of Science and Technology,44,Computer Science and Engineering,BSc
Alternative : Department of Mechanical and Aerospace Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,2 : Department of Civil and Environmental Engineering,BEng
Alternative : Department of Mechanical and Aerospace Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Alternative : Science (Group B),
Rejected: BSc in Biomedical and Health Sciences
",BSc
HK,The Hong Kong University of Science and Technology,44,Alternative : Science (Group B),
Rejected: BSc in Biotechnology and Business
",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BSc in Quantitative Finance,BSc
Alternative : Business and Management",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Department of Civil and Environmental Engineering,BEng
Alternative : Department of Computer Science and Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Business and Management,BBA
HK,The Hong Kong University of Science and Technology,44,BBA in Management,BBA
HK,The Hong Kong University of Science and Technology,44,Choice 1 : Science (Group A),BSc
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Department of Mechanical and Aerospace Engineering,BEng
Alternative : Department of Electronic and Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 1 : BEng in Computer Engineering,BEng
Alternative : Department of Electronic and Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Department of Computer Science and Engineering,BSc
Alternative : Department of Mechanical and Aerospace Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 1 : Department of Mechanical and Aerospace Engineering,BEng
Alternative : Department of Electronic and Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Department of Civil and Environmental Engineering,BEng
Alternative : Department of Computer Science and Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 1 : International Research Enrichment,
Alternative : Science (Group B)",BSc
HK,The Hong Kong University of Science and Technology,44,Choice 2 : BSc in Biomedical and Health Sciences,
Alternative : Science (Group B)",BSc
HK,The Hong Kong University of Science and Technology,44,Science (Group A),BSc
HK,The Hong Kong University of Science and Technology,44,Mathematics and Economics,BSc
HK,The Hong Kong University of Science and Technology,44,Department of Computer Science and Engineering,BSc
Alternative : BEng in Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Choice 2 : Engineering with Extended Major in Artificial Intelligence,BEng
Alternative : Department of Electronic and Computer Engineering",BEng
HK,The Hong Kong University of Science and Technology,44,Alternative: Business and Management,BSc
